family,product_name,product_slug,product_url,cpu,ram,base_storage,snapshots,port,base_monthly_price,one_month_setup_fee
Cloud VPS,Cloud VPS 10,cloud-vps-10,https://contabo.com/en/vps/cloud-vps-10/,4 vCPU Cores,8 GB RAM,75 GB NVMe or 150 GB SSD,1 Snapshot,200 Mbit/s Port,4.5,4.5
Cloud VPS,Cloud VPS 20,cloud-vps-20,https://contabo.com/en/vps/cloud-vps-20/,6 vCPU Cores,12 GB RAM,100 GB NVMe or 200 GB SSD,2 Snapshots,300 Mbit/s Port,7,0
Cloud VPS,Cloud VPS 30,cloud-vps-30,https://contabo.com/en/vps/cloud-vps-30/,8 vCPU Cores,24 GB RAM,200 GB NVMe or 400 GB SSD,3 Snapshots,600 Mbit/s Port,14,0
Cloud VPS,Cloud VPS 40,cloud-vps-40,https://contabo.com/en/vps/cloud-vps-40/,12 vCPU Cores,48 GB RAM,250 GB NVMe or 500 GB SSD,3 Snapshots,800 Mbit/s Port,25,0
Cloud VPS,Cloud VPS 50,cloud-vps-50,https://contabo.com/en/vps/cloud-vps-50/,16 vCPU Cores,64 GB RAM,300 GB NVMe or 600 GB SSD,3 Snapshots,1 Gbit/s Port,37,0
Cloud VPS,Cloud VPS 60,cloud-vps-60,https://contabo.com/en/vps/cloud-vps-60/,18 vCPU Cores,96 GB RAM,350 GB NVMe or 700 GB SSD,3 Snapshots,1 Gbit/s Port,49,0
Storage VPS,Storage VPS 10,storage-vps-10,https://contabo.com/en/storage-vps/storage-vps-10/,2 vCPU Cores,4 GB RAM,300 GB SSD,,200 Mbit/s Port,4.5,4.5
Storage VPS,Storage VPS 20,storage-vps-20,https://contabo.com/en/storage-vps/storage-vps-20/,3 vCPU Cores,8 GB RAM,400 GB SSD,,300 Mbit/s Port,7,0
Storage VPS,Storage VPS 30,storage-vps-30,https://contabo.com/en/storage-vps/storage-vps-30/,6 vCPU Cores,18 GB RAM,1 TB SSD,,600 Mbit/s Port,14,0
Storage VPS,Storage VPS 40,storage-vps-40,https://contabo.com/en/storage-vps/storage-vps-40/,8 vCPU Cores,30 GB RAM,1.2 TB SSD,,800 Mbit/s Port,25,0
Storage VPS,Storage VPS 50,storage-vps-50,https://contabo.com/en/storage-vps/storage-vps-50/,14 vCPU Cores,50 GB RAM,1.4 TB SSD,,1 Gbit/s Port,37,0
Cloud VDS,Cloud VDS S,vds-s,https://contabo.com/en/vds/vds-s/,3 Physical Cores,24 GB RAM,180 GB NVMe,,250 Mbit/s Port,34.4,0
Cloud VDS,Cloud VDS M,vds-m,https://contabo.com/en/vds/vds-m/,4 Physical Cores,32 GB RAM,240 GB NVMe,,500 Mbit/s Port,44.8,0
Cloud VDS,Cloud VDS L,vds-l,https://contabo.com/en/vds/vds-l/,6 Physical Cores,48 GB RAM,360 GB NVMe,,750 Mbit/s Port,64,0
Cloud VDS,Cloud VDS XL,vds-xl,https://contabo.com/en/vds/vds-xl/,8 Physical Cores,64 GB RAM,480 GB NVMe,,1 Gbit/s Port,82.4,0
Cloud VDS,Cloud VDS XXL,vds-xxl,https://contabo.com/en/vds/vds-xxl/,12 Physical Cores,96 GB RAM,720 GB NVMe,,1 Gbit/s Port,119,0